id,name,website,platform,handle,profile_url,active,notes
001-youtube,ACET (African Center for Economic Transformation),https://acetforafrica.org,YouTube,user/acetforafrica,https://www.youtube.com/user/acetforafrica,true,Verified — institutional link | Source: https://acetforafrica.org
001-x,ACET (African Center for Economic Transformation),https://acetforafrica.org,X,acetforafrica,https://x.com/acetforafrica,true,Verified — institutional link | Source: https://acetforafrica.org
001-linkedin,ACET (African Center for Economic Transformation),https://acetforafrica.org,LinkedIn,company/acetforafrica,https://www.linkedin.com/company/acetforafrica,true,Verified — institutional link | Source: https://acetforafrica.org
001-instagram,ACET (African Center for Economic Transformation),https://acetforafrica.org,Instagram,acetforafrica,https://www.instagram.com/acetforafrica,true,Verified — institutional link | Source: https://acetforafrica.org
001-facebook,ACET (African Center for Economic Transformation),https://acetforafrica.org,Facebook,acetforafrica,https://www.facebook.com/acetforafrica,true,Verified — institutional link | Source: https://acetforafrica.org
002-x,Africa Center,https://www.atlanticcouncil.org/programs/africa-center/,X,acafricacenter,https://x.com/acafricacenter,true,Verified — institutional link | Source: https://www.atlanticcouncil.org/programs/africa-center/
002-linkedin,Africa Center,https://www.atlanticcouncil.org/programs/africa-center/,LinkedIn,showcase/atlantic-council-africa-center,https://www.linkedin.com/showcase/atlantic-council-africa-center,true,Verified — institutional link | Source: https://www.atlanticcouncil.org/programs/africa-center/
003-youtube,Al Jazeera Centre for Studies,https://studies.aljazeera.net/en,YouTube,user/aljazeerasc,https://www.youtube.com/user/aljazeerasc,true,Verified — institutional link | Source: https://studies.aljazeera.net/en
003-x,Al Jazeera Centre for Studies,https://studies.aljazeera.net/en,X,AJStudies,https://x.com/AJStudies,true,Verified — institutional link | Source: https://studies.aljazeera.net/en
003-linkedin,Al Jazeera Centre for Studies,https://studies.aljazeera.net/en,LinkedIn,company/aljazeera,https://www.linkedin.com/company/aljazeera,true,Parent organization page — centre-specific LinkedIn not found | Source: https://www.linkedin.com/company/aljazeera | Al Jazeera Centre for Studies is established under Al Jazeera Media Network; use with caution for centre-level follower tracking.
003-instagram,Al Jazeera Centre for Studies,https://studies.aljazeera.net/en,Instagram,ajstudies,https://www.instagram.com/ajstudies,true,Verified — institutional link | Source: https://studies.aljazeera.net/en
003-facebook,Al Jazeera Centre for Studies,https://studies.aljazeera.net/en,Facebook,ajstudies,https://www.facebook.com/ajstudies,true,Verified — institutional link | Source: https://studies.aljazeera.net/en
004-youtube,American Enterprise Institute,https://www.aei.org,YouTube,channel/UCt8lRYpzb-sSrKFb4DT2ECw,https://www.youtube.com/channel/UCt8lRYpzb-sSrKFb4DT2ECw,true,Corroborated — On Think Tanks directory | Source: https://onthinktanks.org/think-tank/american-enterprise-institute/ | Directory-listed account; institutional backlink was not accessible in this review.
004-linkedin,American Enterprise Institute,https://www.aei.org,LinkedIn,company/american-enterprise-institute,https://www.linkedin.com/company/american-enterprise-institute,true,Corroborated — On Think Tanks directory | Source: https://onthinktanks.org/think-tank/american-enterprise-institute/ | Directory-listed account; institutional backlink was not accessible in this review.
005-youtube,ASPI (Australian Strategic Policy Institute),https://www.aspi.org.au,YouTube,user/ASPICanberra,https://www.youtube.com/user/ASPICanberra,true,Verified — institutional link | Source: https://www.aspi.org.au
005-x,ASPI (Australian Strategic Policy Institute),https://www.aspi.org.au,X,ASPI_org,https://x.com/ASPI_org,true,Verified — institutional link | Source: https://www.aspi.org.au
005-linkedin,ASPI (Australian Strategic Policy Institute),https://www.aspi.org.au,LinkedIn,company/australian-strategic-policy-institute,https://www.linkedin.com/company/australian-strategic-policy-institute,true,Verified — institutional link | Source: https://www.aspi.org.au
005-instagram,ASPI (Australian Strategic Policy Institute),https://www.aspi.org.au,Instagram,aspi_org,https://www.instagram.com/aspi_org,true,Verified — institutional link | Source: https://www.aspi.org.au
005-facebook,ASPI (Australian Strategic Policy Institute),https://www.aspi.org.au,Facebook,ASPI.org,https://www.facebook.com/ASPI.org,true,Verified — institutional link | Source: https://www.aspi.org.au
006-youtube,Association for Democratic Reforms,https://adrindia.org,YouTube,user/adrspeaks,https://www.youtube.com/user/adrspeaks,true,Verified — institutional link | Source: https://adrindia.org
006-x,Association for Democratic Reforms,https://adrindia.org,X,adrspeaks,https://x.com/adrspeaks,true,Verified — institutional link | Source: https://adrindia.org
006-linkedin,Association for Democratic Reforms,https://adrindia.org,LinkedIn,company/association-for-democratic-reforms,https://www.linkedin.com/company/association-for-democratic-reforms,true,Verified — institutional link | Source: https://adrindia.org
